size_bytes,access_type,run,latency_ns
65536,cpu_baseline,10,38900
65536,post_migration,10,511500
65536,cpu_baseline,11,35600
65536,post_migration,11,481600
65536,cpu_baseline,12,35600
65536,post_migration,12,507400
65536,cpu_baseline,13,36700
65536,post_migration,13,539600
65536,cpu_baseline,14,36700
65536,post_migration,14,659800
65536,cpu_baseline,15,72500
65536,post_migration,15,540300
65536,cpu_baseline,16,38900
65536,post_migration,16,510400
65536,cpu_baseline,17,35500
65536,post_migration,17,506100
65536,cpu_baseline,18,35500
65536,post_migration,18,537800
65536,cpu_baseline,19,43800
65536,post_migration,19,533700
65536,cpu_baseline,20,40500
65536,post_migration,20,608900
65536,cpu_baseline,21,41400
65536,post_migration,21,521300
65536,cpu_baseline,22,35600
65536,post_migration,22,572100
65536,cpu_baseline,23,41400
65536,post_migration,23,517400
65536,cpu_baseline,24,60800
65536,post_migration,24,633500
65536,cpu_baseline,25,41300
65536,post_migration,25,562500
65536,cpu_baseline,26,41400
65536,post_migration,26,563600
65536,cpu_baseline,27,35600
65536,post_migration,27,605800
65536,cpu_baseline,28,35500
65536,post_migration,28,534900
65536,cpu_baseline,29,35500
65536,post_migration,29,516700
131072,cpu_baseline,0,1172900
131072,post_migration,0,1000800
131072,cpu_baseline,1,73100
131072,post_migration,1,980500
131072,cpu_baseline,2,71000
131072,post_migration,2,1166200
131072,cpu_baseline,3,116500
131072,post_migration,3,1499100
131072,cpu_baseline,4,128900
131072,post_migration,4,1054000
131072,cpu_baseline,5,113500
131072,post_migration,5,1190300
131072,cpu_baseline,6,89400
131072,post_migration,6,1073200
131072,cpu_baseline,7,90900
131072,post_migration,7,1252700
131072,cpu_baseline,8,120500
131072,post_migration,8,1451000
131072,cpu_baseline,9,71000
131072,post_migration,9,978500
131072,cpu_baseline,10,78100
131072,post_migration,10,987500
131072,cpu_baseline,11,90700
131072,post_migration,11,992800
131072,cpu_baseline,12,95400
131072,post_migration,12,1057500
131072,cpu_baseline,13,67500
131072,post_migration,13,1277100
131072,cpu_baseline,14,129100
131072,post_migration,14,1045700
131072,cpu_baseline,15,80900
131072,post_migration,15,1119000
131072,cpu_baseline,16,88000
131072,post_migration,16,1101500
131072,cpu_baseline,17,84900
131072,post_migration,17,1046900
131072,cpu_baseline,18,84100
131072,post_migration,18,1063400
131072,cpu_baseline,19,71100
131072,post_migration,19,988900
131072,cpu_baseline,20,71000
131072,post_migration,20,952400
131072,cpu_baseline,21,71000
131072,post_migration,21,1398800
131072,cpu_baseline,22,75100
131072,post_migration,22,1041300
131072,cpu_baseline,23,77300
131072,post_migration,23,967300
131072,cpu_baseline,24,78800
131072,post_migration,24,941000
131072,cpu_baseline,25,75900
131072,post_migration,25,942600
131072,cpu_baseline,26,75300
131072,post_migration,26,915900
131072,cpu_baseline,27,71600
