advice,run,phase,latency_ns
accessed_by_cpu,5,post_migration,685383200
accessed_by_cpu,6,cpu_baseline,32356900
accessed_by_cpu,6,post_migration,686370600
accessed_by_cpu,7,cpu_baseline,32662700
accessed_by_cpu,7,post_migration,691656000
accessed_by_cpu,8,cpu_baseline,32717200
accessed_by_cpu,8,post_migration,685024400
accessed_by_cpu,9,cpu_baseline,32878000
accessed_by_cpu,9,post_migration,702326300
accessed_by_cpu,10,cpu_baseline,32748600
accessed_by_cpu,10,post_migration,703472000
accessed_by_cpu,11,cpu_baseline,33895600
accessed_by_cpu,11,post_migration,688190000
accessed_by_cpu,12,cpu_baseline,32550100
accessed_by_cpu,12,post_migration,697161300
accessed_by_cpu,13,cpu_baseline,32829000
accessed_by_cpu,13,post_migration,723028200
accessed_by_cpu,14,cpu_baseline,32408700
accessed_by_cpu,14,post_migration,708724700
accessed_by_cpu,15,cpu_baseline,32783400
accessed_by_cpu,15,post_migration,689474700
accessed_by_cpu,16,cpu_baseline,32306400
accessed_by_cpu,16,post_migration,699443800
accessed_by_cpu,17,cpu_baseline,32396400
accessed_by_cpu,17,post_migration,685162200
accessed_by_cpu,18,cpu_baseline,34199500
accessed_by_cpu,18,post_migration,685098600
accessed_by_cpu,19,cpu_baseline,33286500
accessed_by_cpu,19,post_migration,689293900
accessed_by_cpu,20,cpu_baseline,39132600
accessed_by_cpu,20,post_migration,687270100
accessed_by_cpu,21,cpu_baseline,33094800
accessed_by_cpu,21,post_migration,695818000
accessed_by_cpu,22,cpu_baseline,34271200
accessed_by_cpu,22,post_migration,683038500
accessed_by_cpu,23,cpu_baseline,32434000
accessed_by_cpu,23,post_migration,685591400
accessed_by_cpu,24,cpu_baseline,32979600
accessed_by_cpu,24,post_migration,716672000
accessed_by_cpu,25,cpu_baseline,32457000
accessed_by_cpu,25,post_migration,696287000
accessed_by_cpu,26,cpu_baseline,32794700
accessed_by_cpu,26,post_migration,684806500
accessed_by_cpu,27,cpu_baseline,32674000
accessed_by_cpu,27,post_migration,680197200
accessed_by_cpu,28,cpu_baseline,32592200
accessed_by_cpu,28,post_migration,687421600
accessed_by_cpu,29,cpu_baseline,32429000
accessed_by_cpu,29,post_migration,684679000
accessed_by_cpu,30,cpu_baseline,32962500
accessed_by_cpu,30,post_migration,680054100
accessed_by_cpu,31,cpu_baseline,32292100
accessed_by_cpu,31,post_migration,684884900
accessed_by_cpu,32,cpu_baseline,32203500
accessed_by_cpu,32,post_migration,690378200
accessed_by_cpu,33,cpu_baseline,32515700
accessed_by_cpu,33,post_migration,683691900
accessed_by_cpu,34,cpu_baseline,32917000
accessed_by_cpu,34,post_migration,683457400
accessed_by_cpu,35,cpu_baseline,32786400
accessed_by_cpu,35,post_migration,688239400
accessed_by_cpu,36,cpu_baseline,32610500
accessed_by_cpu,36,post_migration,697906500
accessed_by_cpu,37,cpu_baseline,32857000
accessed_by_cpu,37,post_migration,687587500
accessed_by_cpu,38,cpu_baseline,32545900
accessed_by_cpu,38,post_migration,685086500
accessed_by_cpu,39,cpu_baseline,32468600
accessed_by_cpu,39,post_migration,686429100
