pattern,run,phase,latency_ns
random,43,cpu_baseline,425606000
random,43,post_migration,1029868300
random,44,cpu_baseline,437905400
random,44,post_migration,1053783400
random,45,cpu_baseline,456674200
random,45,post_migration,1265314900
random,46,cpu_baseline,468365100
random,46,post_migration,1290235800
random,47,cpu_baseline,469957700
random,47,post_migration,1300247200
random,48,cpu_baseline,507229900
random,48,post_migration,1332891100
random,49,cpu_baseline,517737700
random,49,post_migration,1382294900
